cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,k23.mean,k23.median,k23.sd,k32.mean,k32.median,k32.sd,v.mean,v.median,v.sd,lag1.mean,lag1.median,lag1.sd
45,false,Continue,576.4453266725058,10,4.70312,0.1925144195556641,0.140407657623291,0.016941773901137,0.07541100637674333,0.07573886263370513,0.00047185920895908916,0.8612247228622436,0.04150795936584473,2.960518476977819,4.810355687141419,4.949054956436157,0.20010646807601615,52.7018679857254,42.01244366168976,235.20920527504617,2.625799818038941,2.3817530632019044,0.34789919160257154
46,false,Continue,576.4403555880748,11,4.70312,0.18883951360529122,0.15209045410156247,0.015396150782208243,0.07734927937984469,0.08378261263370514,0.000465999212643247,0.7861372991041704,0.04150795936584473,2.7264859625529057,4.818113695491444,4.949054956436157,0.19849729304655872,53.49790328199213,42.33127784729004,218.6586788694686,2.7004247665405274,2.4067530632019043,0.374366984769824
47,false,Continue,576.4272162532799,11,4.70312,0.18883951360529122,0.15209045410156247,0.015396150782208243,0.07746177937984468,0.08378261263370514,0.0004706293758259229,0.7861372991041704,0.04150795936584473,2.7264859625529057,4.823795513673262,4.949054956436157,0.182082739577681,53.3956305547194,42.33127784729004,216.9826562710503,2.700424766540528,2.4067530632019043,0.37436698476982394
48,false,Continue,576.4129484956115,11,4.70312,0.21202156413685194,0.15209045410156247,0.01943341209784834,0.07755375769138338,0.08378261263370514,0.00047467768131716014,1.231920524076982,0.04150795936584473,4.176035776700642,4.6890997453169385,4.949054956436157,0.3418288589735717,54.93093128637834,42.33127784729004,270.1441092398928,2.7194971518083055,2.4067530632019043,0.4096803663526797
49,false,Continue,576.4041765924412,12,4.70312,0.20619397163391115,0.14709045410156246,0.018074268283335193,0.07925507033467295,0.08997011263370515,0.00046625874135638513,1.1321990688641865,0.04150795936584473,3.915728584194038,4.706315914789836,4.949054956436157,0.3143102660536265,55.287375032901764,50.76976704597473,247.11017958767587,2.7800952434539794,2.581753063201904,0.4165022412174247
50,false,Continue,576.3965080235268,11,4.70312,0.18702133178710936,0.14209045410156246,0.015559510656586803,0.07779927937984468,0.08378261263370514,0.0004855779278739505,0.7861372991041704,0.04150795936584473,2.7264859625529057,4.818113695491444,4.949054956436157,0.18075787489756429,53.19108510017395,42.33127784729004,213.81470198330447,2.709515675631437,2.4067530632019043,0.3803998158751429
51,false,Continue,576.3548721067051,10,4.70312,0.19151441955566412,0.135407657623291,0.017041604935479446,0.07578225637674334,0.07573886263370513,0.000489806364587234,0.8612247228622436,0.04150795936584473,2.960518476977819,4.810355687141419,4.949054956436157,0.20010646807601615,52.476867985725406,42.01244366168976,231.33726114557916,2.635799818038941,2.4067530632019043,0.35625056845397124
52,false,Continue,576.3541290957897,10,4.70312,0.19151441955566412,0.135407657623291,0.017041604935479446,0.07578225637674334,0.07573886263370513,0.000489806364587234,0.8612247228622436,0.04150795936584473,2.960518476977819,4.8166056871414185,4.949054956436157,0.20168234435171448,52.476867985725406,42.01244366168976,231.33726114557916,2.635799818038941,2.4067530632019043,0.35625056845397124
53,false,Continue,576.3541290957984,10,4.70312,0.19151441955566412,0.135407657623291,0.017041604935479446,0.07578225637674334,0.07573886263370513,0.000489806364587234,0.8612247228622436,0.04150795936584473,2.960518476977819,4.8166056871414185,4.949054956436157,0.20168234435171448,52.476867985725406,42.01244366168976,231.33726114557916,2.635799818038941,2.4067530632019043,0.35625056845397124
54,false,Continue,576.2477729565182,11,4.70312,0.21020338231867008,0.14209045410156246,0.01975123136026622,0.07761000769138339,0.08378261263370514,0.0004775731516783631,1.2205568877133457,0.04150795936584473,4.23688824566266,4.700463381680575,4.949054956436157,0.32989349621190084,54.93093128637834,42.33127784729004,269.9540429201888,2.7285880608992144,2.4067530632019043,0.4153317497526429
55,false,Continue,576.2179950391507,13,4.70312,0.19715788621168873,0.14209045410156246,0.01773273864128554,0.07850863128075235,0.08378261263370514,0.0004445064328790638,1.0218574450566218,0.010257959365844727,3.7383235972484505,4.746622764147245,4.958193778991699,0.28007278605182356,54.32823922083928,42.33127784729004,241.90570072955606,2.762915075742282,2.4067530632019043,0.39088220472130564
56,false,Continue,576.1822760492803,13,4.70312,0.1938220713688777,0.12372486114501954,0.01830573530819127,0.08070146614404829,0.09588752083778382,0.0004522813759470511,1.0247416679675763,0.010257959365844727,3.772845171106719,4.7483236239506645,4.949054956436157,0.2737090089953626,52.894420238641594,41.76877784729004,253.41854678802216,2.6502288304842434,2.4067530632019043,0.38151645563893255
