cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,k23.mean,k23.median,k23.sd,k32.mean,k32.median,k32.sd,v0.mean,v0.median,v0.sd,lag1.mean,lag1.median,lag1.sd
26,false,Continue,576.620458516179,12,4.81783,0.146299311319987,0.12372486114501954,0.003702940116348946,0.07301311700344086,0.0725116257429123,0.00011118745312149355,0.1309125026067098,0.04150795936584473,0.06023401996134055,4.91227940718333,4.949054956436157,0.028410820440929765,72.11501669883728,63.06860947608948,1059.5776961505778,1.9323551813761393,2.056753063201904,0.8630354763183827
27,false,Continue,576.5682239453952,10,4.81783,0.14729186630249025,0.12372486114501954,0.004405628404432421,0.07248131656646731,0.07257836918830873,0.0001303926904843347,0.1500970482826233,0.04150795936584473,0.07115627094802982,4.906581962108612,4.949054956436157,0.026910395596868697,71.0135009765625,63.06860947608948,982.1211068978514,2.044794969558716,2.131753063201904,0.9046262462906106
28,false,Continue,576.5678046321297,11,4.81783,0.1497151704268022,0.12872486114501955,0.004029661995657159,0.07259657194614412,0.0737491257429123,0.00011749954326389015,0.13904018835587936,0.04150795936584473,0.06538543951906282,4.925981629978526,4.949054956436157,0.019398590479236907,74.77832644635981,64.19360947608948,1039.822015206446,1.9301371921192518,2.056753063201904,0.9587740868624843
29,false,Continue,576.5665903012783,11,4.81783,0.1488060795177113,0.12872486114501955,0.00399028682226183,0.07270907194614412,0.0737491257429123,0.00011792401907859027,0.13904018835587936,0.04150795936584473,0.06538543951906282,4.931663448160345,4.949054956436157,0.014573370696320939,74.57378099181436,64.19360947608948,1022.8342778650855,1.9392281012101606,2.106753063201904,0.9612154951932285
30,false,Continue,576.5507090517215,10,4.81783,0.14629186630249025,0.12372486114501954,0.004356392081393683,0.0726050665664673,0.07257836918830873,0.0001308944786328571,0.1500970482826233,0.04150795936584473,0.0711562709480298,4.931581962108612,4.949054956436157,0.01121445083728787,70.6760009765625,63.06860947608948,951.0753592720235,2.059794969558716,2.1567530632019043,0.8909060311289692
31,false,Continue,576.5357151396802,10,4.81783,0.14629186630249025,0.12372486114501954,0.004356392081393683,0.0727288165664673,0.07319711918830873,0.00013136223553137947,0.1563470482826233,0.04150795936584473,0.08132343637974122,4.931581962108612,4.949054956436157,0.01121445083728787,70.5635009765625,63.06860947608948,941.0455267300812,2.059794969558716,2.1567530632019043,0.8909060311289692
32,false,Continue,576.5340689818426,10,4.81783,0.14629186630249025,0.12372486114501954,0.004356392081393683,0.0728525665664673,0.07319711918830873,0.00013213627367990178,0.1563470482826233,0.04150795936584473,0.08132343637974122,4.937831962108612,4.949054956436157,0.007507478536281555,70.4510009765625,63.06860947608948,930.9875691881387,2.059794969558716,2.1567530632019043,0.8909060311289692
33,false,Continue,576.5222949090117,11,4.81783,0.14698789769952947,0.12872486114501955,0.003926081930016624,0.07304657194614411,0.0749866257429123,0.00011933666527269064,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.9487089027058,4.949054956436157,0.004359074983936619,73.85787190090527,64.19360947608948,965.3101517157778,1.952864464846524,2.106753063201904,0.9630547621436625
34,false,Continue,576.51512820493,11,4.81783,0.14698789769952947,0.12872486114501955,0.003926081930016624,0.07327157194614412,0.0762241257429123,0.00012054758565209088,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.954390720887617,4.949054956436157,0.0023747642919297288,73.65332644635981,64.19360947608948,949.4269598289626,1.9574099193919792,2.106753063201904,0.951588984399716
35,false,Continue,576.5094362939058,11,4.81783,0.14698789769952947,0.12872486114501955,0.003926081930016624,0.07338407194614412,0.0762241257429123,0.00012141756146679104,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.960072539069436,4.949054956436157,0.0011006808726501114,73.44878099181436,64.19360947608948,933.7048474876019,1.9574099193919792,2.106753063201904,0.9738209208544888
36,false,Continue,576.502764179847,11,4.81783,0.14607880679043858,0.12872486114501955,0.0039012522111667495,0.07349657194614412,0.0762241257429123,0.00012225969353149116,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,73.34650826454163,64.19360947608948,926.062399271467,1.9574099193919792,2.106753063201904,0.9738209208544888
37,false,Continue,576.4893492775841,11,4.81783,0.14698789769952947,0.12872486114501955,0.003926081930016623,0.07372157194614412,0.07635761263370515,0.0001241667076608914,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,73.14196280999617,64.19360947608948,910.7084687482884,1.9619553739374334,2.106753063201904,0.9830416250198608
38,false,Continue,576.4871488033255,11,4.81783,0.14607880679043858,0.12872486114501955,0.0039012522111667495,0.07372157194614412,0.07635761263370515,0.0001241667076608914,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,72.93741735545072,64.19360947608948,895.7687427705639,1.9665008284828884,2.156753063201904,0.9847168746397783
39,false,Continue,576.4748105276367,11,4.81783,0.14607880679043858,0.12872486114501955,0.0039012522111667495,0.07383407194614412,0.07635761263370515,0.0001252315897255915,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,72.73287190090527,64.19360947608948,880.9900963382945,1.9665008284828884,2.156753063201904,0.9847168746397783
40,false,Continue,576.46489822424,10,4.81783,0.14429186630249025,0.12372486114501954,0.00429569721309399,0.0734713165664673,0.07388261263370516,0.00013753787067251374,0.1563470482826233,0.04150795936584473,0.08132343637974122,4.962831962108612,4.949054956436157,0.0004920893322562846,69.4385009765625,63.06860947608948,846.2315763106549,2.084794969558716,2.206753063201904,0.9230981474424796
41,false,Continue,576.461696270283,10,4.81783,0.14429186630249025,0.12372486114501954,0.00429569721309399,0.0735950665664673,0.07388261263370516,0.00013912865882103608,0.1563470482826233,0.04150795936584473,0.08132343637974122,4.962831962108612,4.949054956436157,0.0004920893322562846,69.3260009765625,63.06860947608948,837.2986187687125,2.089794969558716,2.2317530632019036,0.9241476818162929
42,false,Continue,576.448489752279,10,4.81783,0.14329186630249025,0.12372486114501954,0.0042842386678330294,0.0735950665664673,0.07388261263370516,0.00013912865882103608,0.1563470482826233,0.04150795936584473,0.08132343637974122,4.962831962108612,4.949054956436157,0.0004920893322562847,69.2135009765625,63.06860947608948,828.6187862267698,2.0947949695587154,2.256753063201904,0.9262527717456616
43,false,Continue,576.4476213365541,11,4.81783,0.14426062497225675,0.12872486114501955,0.00386613822801245,0.07428407194614411,0.07635761263370515,0.00013013152423439205,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,72.11923553726889,64.19360947608948,838.1268843142127,1.975591737573797,2.2067530632019037,0.9899310102432495
44,false,Continue,576.4464404325395,11,4.81783,0.14426062497225675,0.12872486114501955,0.0038661382280124495,0.07439657194614412,0.07635761263370515,0.00013166975004909217,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,71.91469008272344,64.19360947608948,824.245681063761,1.9801371921192519,2.2067530632019037,0.9787379597720305
45,false,Continue,576.4382880051356,11,4.81783,0.14426062497225675,0.12872486114501955,0.00386613822801245,0.07462157194614412,0.07635761263370515,0.00013466267042849247,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,71.81241735545072,64.19360947608948,817.5236873930808,1.9801371921192519,2.2067530632019037,0.9787379597720305
46,false,Continue,576.4357375011091,11,4.81783,0.14426062497225675,0.12872486114501955,0.0038661382280124495,0.07462157194614412,0.07635761263370515,0.00013466267042849247,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,71.71014462817799,64.19360947608948,810.7786823587641,1.9801371921192519,2.2067530632019037,0.9787379597720303
47,false,Continue,576.4342390324595,11,4.81783,0.14335153406316584,0.12872486114501955,0.0038558539637080303,0.07473407194614412,0.07635761263370515,0.0001364236462431926,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,71.60787190090527,64.19360947608948,804.010665960811,1.984682646664706,2.2067530632019037,0.9679994547553565
48,false,Continue,576.4200702621903,10,4.81783,0.14329186630249025,0.12372486114501954,0.0042842386678330294,0.0742138165664673,0.07388261263370516,0.00014861400581364797,0.1563470482826233,0.04150795936584473,0.08132343637974122,4.962831962108612,4.949054956436157,0.0004920893322562846,68.5385009765625,63.06860947608948,778.4804159751143,2.1097949695587155,2.2817530632019034,0.9006081827453836
49,false,Continue,576.4196291443978,11,4.81783,0.14426062497225675,0.12872486114501955,0.0038661382280124495,0.07495907194614412,0.07635761263370515,0.00013986206662259284,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,71.40332644635981,64.19360947608948,790.9118490739959,1.9892281012101605,2.2567530632019035,0.9704474316480013
50,false,Continue,576.4196291443978,11,4.81783,0.14426062497225675,0.12872486114501955,0.0038661382280124495,0.07495907194614412,0.07635761263370515,0.00013986206662259284,0.14472200653769754,0.04150795936584473,0.07467765029305104,4.965754357251254,4.949054956436157,0.0005368247260977652,71.40332644635981,64.19360947608948,790.9118490739959,1.9892281012101605,2.2567530632019035,0.9704474316480013
