cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,lag1.mean,lag1.median,lag1.sd,v0.mean,v0.median,v0.sd
17,false,Continue,462.80992823455284,18,2.63964,0.5748706563313802,0.6106605243682861,0.07353649008991224,0.05182413996458054,0.052406821548938755,0.00025449839951693573,1.3879791418711347,1.2426461219787597,1.2888337853681109,93.19073152542114,99.06817388534546,568.6062366870897
18,false,Continue,462.8062508439111,19,2.63964,0.5793183898925782,0.6193775939941407,0.06982699387215827,0.051969028248285,0.054577017354965215,0.00024075845922411424,1.355243999079654,1.1192808151245117,1.2375921103012095,93.50007059699611,99.06817388534546,538.8351238784388
19,false,Continue,462.8062508439111,19,2.63964,0.5793183898925782,0.6193775939941407,0.06982699387215827,0.051969028248285,0.054577017354965215,0.00024075845922411424,1.355243999079654,1.1192808151245117,1.2375921103012095,93.50007059699611,99.06817388534546,538.8351238784388
20,false,Continue,462.14619013924516,18,2.63964,0.5748706563313802,0.6306605243682861,0.07341494912275634,0.052236639964580535,0.052406821548938755,0.0002602713797926157,1.3935346974266902,1.1926461219787599,1.297852187156062,93.06573152542114,99.06817388534546,562.8620419060105
21,false,Continue,461.3524750030728,18,2.63964,0.5659817674424913,0.6306605243682861,0.06990527604779717,0.053336639964580546,0.054577017354965215,0.000241380729478453,1.3713124752044679,1.0192808151245116,1.3425581893104435,91.81573152542114,99.06817388534546,526.7657344460109
22,false,Continue,461.123163364029,18,2.63964,0.5573468017578125,0.5719434547424316,0.06967000719689902,0.05309550709724427,0.052406821548938755,0.00024179396130369953,1.3661327997843424,1.0192808151245116,1.387733948827672,92.84858906269073,97.94317388534546,567.3476325367868
23,false,Continue,461.04041556571224,17,2.63964,0.5640173070571004,0.6219434547424316,0.07361197696938859,0.053263676588675556,0.054577017354965215,0.00025636521018383284,1.4186831249910243,1.1192808151245117,1.4216529316372541,91.25676432777854,96.81817388534546,554.3459075751136
24,false,Continue,461.0205816587538,18,2.63964,0.5617912462022568,0.5729458332061768,0.0693239980982726,0.05309550709724427,0.052406821548938755,0.00024179396130369953,1.371688355339898,1.0192808151245116,1.3777794393418916,92.72358906269073,97.94317388534546,560.4656712296819
25,false,Continue,461.02057665729177,19,2.63964,0.570085264507093,0.6219434547424316,0.06677968892376893,0.05213137605817695,0.050236625742912294,0.0002460223880028616,1.3661264118395353,1.1192808151245117,1.3018239062507546,94.0048830007252,99.06817388534546,560.5212584519327
26,false,Continue,460.42852068622597,18,2.63964,0.5634579128689237,0.5729458332061768,0.06980104688989619,0.053164257097244275,0.052406821548938755,0.0002427906122426522,1.360577244228787,0.9942808151245117,1.3926436662254247,92.53608906269073,97.94317388534546,566.180595395113
27,false,Continue,460.0190663874509,18,2.63964,0.5634579128689237,0.5779458332061768,0.06938836315612434,0.053026757097244276,0.052406821548938755,0.00023983957696053124,1.3522439108954536,0.9942808151245117,1.3734212262538004,92.66108906269073,97.94317388534546,576.0813356469347
28,false,Continue,459.6911937808628,18,2.60705,0.5623468017578125,0.5779458332061768,0.06996145388269005,0.05295800709724427,0.052406821548938755,0.000241411858032706,1.346688355339898,0.9942808151245117,1.3771985899748622,92.78608906269073,97.94317388534546,581.4139619581528
29,false,Continue,459.41230925584495,18,2.60705,0.5715373229980469,0.655660524368286,0.07094089952092097,0.05209913996458053,0.051788071548938754,0.00025963919462122906,1.3768680307600232,1.1426461219787596,1.3226471367063168,92.87823152542114,97.94317388534546,586.7256907588917
30,false,Continue,459.348912769445,17,2.60705,0.5646055423512178,0.6219434547424316,0.07421825746733225,0.053118088353381436,0.054577017354965215,0.00025601000174591676,1.3804478308733774,1.1192808151245117,1.3881343628690332,91.45529373954324,96.81817388534546,584.6726655314096
31,false,Continue,459.30849884759346,17,2.60705,0.5634290717629826,0.6219434547424316,0.07399963791034427,0.05311808835338144,0.054577017354965215,0.00025601000174591676,1.377506654402789,1.1192808151245117,1.379748832404244,91.45529373954324,96.81817388534546,584.6726655314096
32,false,Continue,459.28262206757825,17,2.60705,0.5634290717629825,0.6219434547424316,0.073842851182439,0.05311808835338144,0.054577017354965215,0.00025601000174591676,1.3716243014616125,1.1192808151245117,1.365110124415842,91.45529373954324,96.81817388534546,584.6726655314096
33,false,Continue,459.27383990145256,17,2.60705,0.5634290717629826,0.6219434547424316,0.07371106445453372,0.05311808835338144,0.054577017354965215,0.00025601000174591676,1.3657419485204358,1.1192808151245117,1.3510228870156744,91.45529373954324,96.81817388534546,584.6726655314096
34,false,Continue,459.26452517839186,18,2.60705,0.567648434109158,0.635660524368286,0.06996125020778589,0.05209913996458053,0.051788071548938754,0.00025963919462122906,1.3518680307600237,1.1176461219787597,1.275015693177749,92.87823152542114,97.94317388534546,586.7256907588917
35,false,Continue,459.25141602656595,17,2.60705,0.5622526011747473,0.6219434547424316,0.07377700372107515,0.053118088353381436,0.054577017354965215,0.00025601000174591676,1.3598595955792596,1.1160114288330076,1.3464224370048137,91.45529373954324,96.81817388534546,584.6726655314096
36,false,Continue,459.23816981202503,17,2.60705,0.561076130586512,0.6219434547424316,0.07386500181114598,0.05311808835338144,0.054577017354965215,0.00025601000174591676,1.3598595955792598,1.1160114288330076,1.3464224370048137,91.45529373954324,96.81817388534546,584.6726655314096
37,false,Continue,459.22846420782344,17,2.60705,0.5604878952923943,0.6219434547424316,0.07377300733482764,0.05311808835338144,0.054577017354965215,0.00025601000174591676,1.3569184191086716,1.1160114288330076,1.3407207300694362,91.45529373954324,96.81817388534546,584.6726655314096
38,false,Continue,459.2233014993985,18,2.60705,0.5632039896647135,0.6206605243682861,0.06982011938391501,0.05209913996458053,0.051788071548938754,0.00025963919462122906,1.3407569196489124,1.0910114288330077,1.2665562979374145,92.87823152542114,97.94317388534546,586.7256907588917
